Question Number,Answer,Comments
test_anatomy-question_000,A,
test_anatomy-question_001,No Answer, Did not find enough information to provide an answer
test_anatomy-question_002,No Answer, Did not find enough information to provide an answer
test_anatomy-question_003,No Answer, Did not find enough information to provide an answer
test_anatomy-question_004,No Answer, Did not find enough information to provide an answer
test_anatomy-question_005,C,
test_anatomy-question_006,A,
test_anatomy-question_007,B,
test_anatomy-question_008,A,
test_anatomy-question_009,D,
test_anatomy-question_010,D,
test_anatomy-question_011,,
test_anatomy-question_012,No Answer, Did not find enough information to provide an answer
test_anatomy-question_013,No Answer, Did not find enough information to provide an answer
test_anatomy-question_014,No Answer, Did not find enough information to provide an answer
test_anatomy-question_015,No Answer, Did not find enough information to provide an answer
test_anatomy-question_016,B,
test_anatomy-question_017,D,
test_anatomy-question_018,D,
test_anatomy-question_019,C,
test_anatomy-question_020,No Answer, Did not find enough information to provide an answer
test_anatomy-question_021,C,
test_anatomy-question_022,No Answer, Did not find enough information to provide an answer
test_anatomy-question_023,No Answer, Did not find enough information to provide an answer
test_anatomy-question_024,No Answer, Did not find enough information to provide an answer
test_anatomy-question_025,No Answer, Did not find enough information to provide an answer
test_anatomy-question_026,C,
test_anatomy-question_027,No Answer, Did not find enough information to provide an answer
test_anatomy-question_028,No Answer, Did not find enough information to provide an answer
test_anatomy-question_029,No Answer, Did not find enough information to provide an answer
test_anatomy-question_030,No Answer, Did not find enough information to provide an answer
test_anatomy-question_031,A,
test_anatomy-question_032,No Answer, Did not find enough information to provide an answer
test_anatomy-question_033,D,
test_anatomy-question_034,No Answer, Did not find enough information to provide an answer
test_anatomy-question_035,A,
test_anatomy-question_036,No Answer, Did not find enough information to provide an answer
test_anatomy-question_037,No Answer, Did not find enough information to provide an answer
test_anatomy-question_038,D,
test_anatomy-question_039,C,
test_anatomy-question_040,No Answer, Did not find enough information to provide an answer
test_anatomy-question_041,No Answer, Did not find enough information to provide an answer
test_anatomy-question_042,No Answer, Did not find enough information to provide an answer
test_anatomy-question_043,No Answer, Did not find enough information to provide an answer
test_anatomy-question_044,No Answer, Did not find enough information to provide an answer
test_anatomy-question_045,No Answer, Did not find enough information to provide an answer
test_anatomy-question_046,No Answer, Did not find enough information to provide an answer
test_anatomy-question_047,C,
test_anatomy-question_048,No Answer, Did not find enough information to provide an answer
test_anatomy-question_049,C,
test_anatomy-question_050,No Answer, Did not find enough information to provide an answer
test_anatomy-question_051,D,
test_anatomy-question_052,B,
test_anatomy-question_053,B,
test_anatomy-question_054,B,
test_anatomy-question_055,B,
test_anatomy-question_056,No Answer, Did not find enough information to provide an answer
test_anatomy-question_057,C,
test_anatomy-question_058,No Answer, Did not find enough information to provide an answer
test_anatomy-question_059,A,
test_anatomy-question_060,No Answer, Did not find enough information to provide an answer
test_anatomy-question_061,C,
test_anatomy-question_062,No Answer, Did not find enough information to provide an answer
test_anatomy-question_063,No Answer, Did not find enough information to provide an answer
test_anatomy-question_064,C,
test_anatomy-question_065,No Answer, Did not find enough information to provide an answer
test_anatomy-question_066,D,
test_anatomy-question_067,No Answer, Did not find enough information to provide an answer
test_anatomy-question_068,No Answer, Did not find enough information to provide an answer
test_anatomy-question_069,No Answer, Did not find enough information to provide an answer
test_anatomy-question_070,No Answer, Did not find enough information to provide an answer
test_anatomy-question_071,No Answer, Did not find enough information to provide an answer
test_anatomy-question_072,No Answer, Did not find enough information to provide an answer
test_anatomy-question_073,No Answer, Did not find enough information to provide an answer
test_anatomy-question_074,No Answer, Did not find enough information to provide an answer
test_anatomy-question_075,C,
test_anatomy-question_076,A,
test_anatomy-question_077,A,
test_anatomy-question_078,C,
test_anatomy-question_079,No Answer, Did not find enough information to provide an answer
test_anatomy-question_080,B,
test_anatomy-question_081,B,
test_anatomy-question_082,C,
test_anatomy-question_083,B,
test_anatomy-question_084,No Answer, Did not find enough information to provide an answer
test_anatomy-question_085,No Answer, Did not find enough information to provide an answer
test_anatomy-question_086,No Answer, Did not find enough information to provide an answer
test_anatomy-question_087,No Answer, Did not find enough information to provide an answer
test_anatomy-question_088,C,
test_anatomy-question_089,A,
test_anatomy-question_090,No Answer, Did not find enough information to provide an answer
test_anatomy-question_091,No Answer, Did not find enough information to provide an answer
test_anatomy-question_092,B,
test_anatomy-question_093,No Answer, Did not find enough information to provide an answer
test_anatomy-question_094,A,
test_anatomy-question_095,A,
test_anatomy-question_096,No Answer, Did not find enough information to provide an answer
test_anatomy-question_097,No Answer, Did not find enough information to provide an answer
test_anatomy-question_098,No Answer, Did not find enough information to provide an answer
test_anatomy-question_099,C,
test_anatomy-question_100,D,
test_anatomy-question_101,D,
test_anatomy-question_102,C,
test_anatomy-question_103,A,
test_anatomy-question_104,No Answer, Did not find enough information to provide an answer
test_anatomy-question_105,C,
test_anatomy-question_106,C,
test_anatomy-question_107,No Answer, Did not find enough information to provide an answer
test_anatomy-question_108,No Answer, Did not find enough information to provide an answer
test_anatomy-question_109,A,
test_anatomy-question_110,No Answer, Did not find enough information to provide an answer
test_anatomy-question_111,C,
test_anatomy-question_112,No Answer, Did not find enough information to provide an answer
test_anatomy-question_113,No Answer, Did not find enough information to provide an answer
test_anatomy-question_114,A,
test_anatomy-question_115,B,
test_anatomy-question_116,No Answer, Did not find enough information to provide an answer
test_anatomy-question_117,B,
test_anatomy-question_118,B,
test_anatomy-question_119,No Answer, Did not find enough information to provide an answer
test_anatomy-question_120,C,
test_anatomy-question_121,B,
test_anatomy-question_122,No Answer, Did not find enough information to provide an answer
test_anatomy-question_123,B,
test_anatomy-question_124,No Answer, Did not find enough information to provide an answer
test_anatomy-question_125,No Answer, Did not find enough information to provide an answer
test_anatomy-question_126,C,
test_anatomy-question_127,No Answer, Did not find enough information to provide an answer
test_anatomy-question_128,A,
test_anatomy-question_129,No Answer, Did not find enough information to provide an answer
test_anatomy-question_130,No Answer, Did not find enough information to provide an answer
test_anatomy-question_131,No Answer, Did not find enough information to provide an answer
test_anatomy-question_132,No Answer, Did not find enough information to provide an answer
test_anatomy-question_133,No Answer, Did not find enough information to provide an answer
test_anatomy-question_134,No Answer, Did not find enough information to provide an answer